customerid,firstname,lastname,address,priphone,secphone,email,custsince,checkingstatus,loanduration,credithistory,loanpurpose,loanamount,existingsavings,employmentduration,installmentpercent,sex,othersonloan,currentresidenceduration,ownsproperty,age,installmentplans,housing,existingcreditscount,job,dependents,telephone,foreignworker,risk
59-1899223,Jesse,Laban,927 8th Alley,216-306-9365,999-447-6474,jesselaban@hotmail.com,12/5/1986,less_0,10,all_credits_paid_back,car_new,1300,less_100,1_to_4,3,female,none,2,real_estate,58,bank,rent,1,unskilled,1,none,yes,No Risk
59-2689228,Roslyn,Sitlinton,3795 Russell Alley,990-340-9938,380-598-1731,roslynsitlinton@google.com,12/9/2009,less_0,7,all_credits_paid_back,vacation,554,less_100,1_to_4,2,male,none,2,real_estate,31,none,own,1,skilled,1,none,yes,No Risk
59-5506919,Arie,Shelton,05 Derek Road,731-331-1677,680-817-5013,arieshelton@yahoo.com,9/3/2000,less_0,10,all_credits_paid_back,car_used,435,less_100,less_1,2,female,none,2,real_estate,38,none,own,1,skilled,1,none,yes,No Risk
60-0258792,Bruno,Bunhill,46382 Jana Drive,326-451-9937,199-120-3151,brunobunhill@google.com,12/3/1990,no_checking,32,outstanding_credit,vacation,6367,500_to_1000,greater_7,4,male,co-applicant,3,unknown,54,none,free,2,skilled,1,yes,yes,Risk
60-1044349,Brit,Pepler,0 Warbler Road,285-334-5895,574-640-4326,britpepler@hotmail.com,2/27/1983,less_0,4,all_credits_paid_back,repairs,250,less_100,1_to_4,2,female,none,1,real_estate,55,none,rent,1,skilled,1,none,yes,No Risk
60-1067057,Giralda,Stansfield,38028 Redwing Circle,385-124-6635,373-172-6998,giraldastansfield@google.com,10/25/2013,less_0,9,prior_payments_delayed,car_used,2376,less_100,1_to_4,2,male,none,3,savings_insurance,21,bank,rent,2,unskilled,1,none,yes,Risk
60-1259028,Melinda,Tremblett,2645 Valley Edge Street,500-870-7642,540-908-9772,melindatremblett@yahoo.com,3/27/2005,no_checking,15,outstanding_credit,education,1921,100_to_500,1_to_4,3,male,co-applicant,4,car_other,30,none,free,1,skilled,1,yes,yes,No Risk
60-1614759,Joyous,Dewbury,6657 Westport Parkway,745-983-6096,326-186-8777,joyousdewbury@outlook.com,4/21/1980,no_checking,39,prior_payments_delayed,appliances,6320,500_to_1000,4_to_7,4,male,none,4,car_other,56,stores,rent,3,unskilled,2,yes,yes,Risk
60-2758405,Sibby,Polding,775 Fremont Street,282-516-0718,262-729-0528,sibbypolding@outlook.com,9/6/1986,no_checking,25,all_credits_paid_back,radio_tv,5900,100_to_500,4_to_7,3,male,none,2,car_other,55,bank,own,2,unemployed,1,yes,yes,No Risk
60-3106284,Rossy,Culvey,7028 Hovde Trail,175-891-1832,463-735-9733,rossyculvey@outlook.com,3/16/1998,no_checking,24,prior_payments_delayed,car_used,4425,unknown,4_to_7,4,male,none,3,car_other,37,none,own,3,skilled,2,yes,yes,Risk
60-4524030,Gustaf,Sparhawk,44 Badeau Center,919-793-0074,243-680-4099,gustafsparhawk@google.com,6/21/1989,greater_200,8,credits_paid_to_date,car_new,250,500_to_1000,1_to_4,2,male,none,2,savings_insurance,46,bank,rent,1,unemployed,1,none,yes,No Risk
60-4802777,Jeane,Adamsky,9 Barnett Hill,591-910-1428,901-945-3086,jeaneadamsky@yahoo.com,6/13/1998,no_checking,31,outstanding_credit,other,9225,500_to_1000,greater_7,4,male,co-applicant,3,unknown,37,none,own,2,skilled,1,yes,yes,Risk
60-6252245,Tonnie,Moralas,41743 Brickson Park Circle,416-749-8987,413-995-9124,tonniemoralas@google.com,11/7/1992,less_0,19,all_credits_paid_back,car_used,1682,100_to_500,4_to_7,3,male,none,3,real_estate,45,none,own,1,skilled,1,none,yes,No Risk
60-8057866,Sheila-kathryn,Bazley,0 Jay Drive,763-356-4198,317-808-4808,sheila-kathrynbazley@google.com,3/1/1987,no_checking,27,prior_payments_delayed,radio_tv,5468,100_to_500,1_to_4,4,male,none,4,savings_insurance,56,none,rent,1,skilled,1,none,yes,No Risk
60-8636058,Darrick,Hutchin,8 Scott Drive,573-824-1498,757-853-2827,darrickhutchin@yahoo.com,8/11/1983,greater_200,20,credits_paid_to_date,furniture,2670,less_100,1_to_4,3,female,none,4,real_estate,55,none,own,1,skilled,1,none,yes,No Risk
60-9964359,Julita,Beckingham,90 Ruskin Way,601-531-8503,286-148-0443,julitabeckingham@yahoo.com,2/5/2006,less_0,8,all_credits_paid_back,education,1191,less_100,1_to_4,2,female,none,2,car_other,28,none,own,1,skilled,1,none,yes,Risk
61-0506591,Jessamyn,Van Saltsberg,372 Carberry Pass,774-492-3236,439-242-9222,jessamynvan saltsberg@hotmail.com,3/24/1984,no_checking,27,prior_payments_delayed,radio_tv,5395,100_to_500,4_to_7,4,female,none,3,car_other,50,stores,own,1,unskilled,1,yes,no,No Risk
61-2067766,Arly,Constanza,7 Grim Way,462-449-9965,859-424-8984,arlyconstanza@hotmail.com,6/14/2009,less_0,8,all_credits_paid_back,car_used,2225,less_100,1_to_4,3,female,none,3,car_other,24,bank,rent,1,unemployed,1,yes,yes,No Risk
61-2101053,Rem,Petrescu,810 Mandrake Road,421-615-0645,247-862-4947,rempetrescu@google.com,9/7/2011,less_0,4,all_credits_paid_back,car_new,250,100_to_500,1_to_4,2,female,none,2,real_estate,29,bank,rent,1,unemployed,1,none,yes,No Risk
61-2559944,Banky,Halliday,63 Brickson Park Way,568-781-7214,629-518-2934,bankyhalliday@google.com,10/19/1984,less_0,18,credits_paid_to_date,furniture,2503,less_100,1_to_4,3,male,none,1,real_estate,61,none,own,1,skilled,1,yes,yes,No Risk
61-2574978,Maximilianus,Aldins,5430 Glendale Pass,427-248-9890,285-812-8199,maximilianusaldins@yahoo.com,9/5/1996,0_to_200,25,credits_paid_to_date,appliances,6088,less_100,4_to_7,4,female,none,2,savings_insurance,40,none,own,1,skilled,1,none,yes,No Risk
61-3085644,Fairlie,Leney,968 Brickson Park Center,482-859-9675,137-230-3085,fairlieleney@hotmail.com,11/2/1993,0_to_200,9,no_credits,car_new,250,less_100,1_to_4,2,male,none,2,real_estate,48,none,own,1,skilled,1,none,yes,No Risk
61-3168423,Mickie,Tibald,53 Debs Drive,813-624-0361,640-496-3190,mickietibald@google.com,8/23/2014,less_0,12,prior_payments_delayed,car_used,1056,less_100,4_to_7,2,male,none,2,car_other,30,stores,own,2,skilled,1,none,yes,No Risk
61-3517288,Becky,Kluger,96744 Valley Edge Terrace,849-432-0202,327-429-6468,beckykluger@google.com,4/1/2005,0_to_200,20,credits_paid_to_date,appliances,250,less_100,1_to_4,3,female,none,3,real_estate,39,none,own,1,skilled,1,none,yes,No Risk
61-4931304,Isiahi,Novacek,211 Meadow Ridge Alley,754-247-5390,926-659-9224,isiahinovacek@google.com,7/3/2008,no_checking,43,outstanding_credit,repairs,7339,greater_1000,greater_7,4,male,co-applicant,4,car_other,26,stores,free,2,skilled,2,yes,yes,Risk
61-5818983,Engelbert,Parradine,044 Delaware Pass,899-257-1543,515-253-9177,engelbertparradine@google.com,3/23/2000,no_checking,28,outstanding_credit,repairs,7375,500_to_1000,4_to_7,5,male,none,3,unknown,42,none,free,2,management_self-employed,1,yes,yes,Risk
61-7330809,Gerri,Dresser,5024 Forest Run Court,814-776-6305,275-137-0737,gerridresser@google.com,6/26/2002,greater_200,17,credits_paid_to_date,retraining,490,500_to_1000,1_to_4,3,female,none,3,real_estate,39,none,own,1,skilled,1,none,yes,No Risk
61-7483718,Hendrick,Bushnell,4 Hayes Plaza,810-235-4791,775-809-8217,hendrickbushnell@yahoo.com,9/8/2001,no_checking,35,prior_payments_delayed,appliances,7061,500_to_1000,greater_7,5,male,none,5,unknown,43,stores,own,2,unskilled,2,yes,yes,Risk
61-7512655,Even,Polhill,32 Johnson Street,319-897-0947,617-625-3901,evenpolhill@hotmail.com,9/28/2011,no_checking,36,outstanding_credit,radio_tv,5553,unknown,greater_7,5,male,co-applicant,4,car_other,22,none,free,2,skilled,2,yes,yes,Risk
61-8271491,Cheri,Behnecken,24 Fremont Park,497-120-0350,181-118-7392,cheribehnecken@outlook.com,5/21/2003,no_checking,33,outstanding_credit,furniture,4550,greater_1000,greater_7,5,male,none,4,savings_insurance,32,none,free,3,skilled,2,yes,yes,Risk
61-9613354,Georgena,Scoyne,0 Pleasure Hill,158-203-6538,326-454-4102,georgenascoyne@google.com,9/17/1988,less_0,21,prior_payments_delayed,radio_tv,5386,less_100,less_1,2,male,none,2,car_other,46,none,own,1,skilled,1,none,yes,Risk
61-9757188,Matty,Ogley,3645 Stuart Street,445-593-4569,528-377-4252,mattyogley@google.com,12/26/1980,0_to_200,39,all_credits_paid_back,business,5860,less_100,4_to_7,3,male,none,2,savings_insurance,63,none,own,1,skilled,1,none,yes,Risk
62-1367025,Mead,Boffey,6387 Declaration Hill,164-494-1134,757-550-7286,meadboffey@google.com,10/10/1981,greater_200,28,outstanding_credit,furniture,4175,unknown,greater_7,4,male,none,4,unknown,57,none,own,2,skilled,1,yes,yes,No Risk
62-1594473,Brita,Fanthome,22 Hallows Street,972-630-5645,417-420-0821,britafanthome@google.com,4/26/2009,no_checking,26,prior_payments_delayed,car_used,7276,100_to_500,4_to_7,3,male,none,3,unknown,24,none,own,2,skilled,1,yes,yes,Risk
62-3979154,Yul,Fellos,25754 Briar Crest Trail,714-391-6810,249-509-2326,yulfellos@yahoo.com,11/12/2011,0_to_200,27,outstanding_credit,car_used,4541,100_to_500,less_1,2,male,none,4,unknown,32,none,own,2,skilled,2,yes,yes,Risk
62-4008778,Roderick,Meadowcraft,0639 Lien Hill,858-650-1417,306-776-3779,roderickmeadowcraft@google.com,10/28/2013,less_0,16,no_credits,car_used,930,less_100,less_1,2,female,none,2,real_estate,21,none,rent,1,skilled,1,none,yes,No Risk
62-6126160,Stanton,Solway,48565 Union Hill,976-894-2321,886-992-4503,stantonsolway@google.com,7/2/1989,less_0,19,prior_payments_delayed,retraining,2212,less_100,greater_7,4,male,none,3,savings_insurance,44,none,own,2,skilled,1,yes,yes,No Risk
62-6634973,Lizzy,Bassano,5376 Main Way,380-884-5504,716-415-9926,lizzybassano@google.com,3/28/1983,0_to_200,30,credits_paid_to_date,repairs,3888,less_100,4_to_7,4,female,none,2,savings_insurance,61,stores,rent,1,unskilled,1,none,yes,No Risk
62-6715049,Jeremias,Balfre,6506 Merrick Court,468-361-8062,567-564-5884,jeremiasbalfre@hotmail.com,7/19/2006,less_0,20,prior_payments_delayed,education,250,100_to_500,less_1,1,male,none,2,savings_insurance,38,bank,rent,1,unemployed,1,yes,yes,No Risk
62-7678828,Der,Inde,5817 Dexter Court,359-633-2170,695-634-7063,derinde@google.com,9/24/2013,no_checking,24,prior_payments_delayed,furniture,7028,100_to_500,4_to_7,3,male,none,4,car_other,26,none,own,3,skilled,1,yes,yes,Risk
62-9165428,Trixy,Pallister,1 Pearson Parkway,488-617-6839,578-632-3884,trixypallister@outlook.com,1/25/1982,less_0,12,all_credits_paid_back,car_new,287,less_100,less_1,2,female,none,1,real_estate,57,stores,own,1,unskilled,1,none,yes,No Risk
63-0837775,Bernie,De Lascy,70 Michigan Point,812-609-1492,126-987-6095,berniede lascy@yahoo.com,12/4/1989,less_0,16,credits_paid_to_date,furniture,250,less_100,4_to_7,2,female,none,1,savings_insurance,51,stores,rent,1,skilled,1,none,yes,No Risk
63-1248588,Annmarie,Gherardesci,12671 Grasskamp Street,435-208-9337,153-110-6096,annmariegherardesci@google.com,12/25/2009,no_checking,35,prior_payments_delayed,radio_tv,5235,500_to_1000,less_1,3,female,co-applicant,4,savings_insurance,34,none,own,1,skilled,1,none,yes,No Risk
63-2413423,Nevins,Giacopelo,3267 Vermont Parkway,519-838-9680,636-572-7073,nevinsgiacopelo@google.com,2/22/2005,0_to_200,34,outstanding_credit,furniture,3789,500_to_1000,greater_7,4,male,none,3,unknown,34,none,free,2,skilled,1,yes,yes,No Risk
63-2502048,Muffin,Longhorne,45600 Bobwhite Plaza,998-870-9522,215-422-6594,muffinlonghorne@hotmail.com,1/17/2003,0_to_200,12,credits_paid_to_date,car_new,250,less_100,4_to_7,1,female,none,3,real_estate,35,none,own,1,skilled,1,none,no,No Risk
63-3264183,Darb,Keave,00 David Court,135-317-4776,565-415-0478,darbkeave@google.com,7/23/2002,no_checking,36,prior_payments_delayed,appliances,5035,500_to_1000,less_1,3,male,none,4,savings_insurance,31,none,own,1,management_self-employed,1,none,yes,Risk
63-3645447,Banky,Kybird,3 Eastwood Terrace,356-595-4097,249-579-4342,bankykybird@google.com,5/10/2002,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,1,real_estate,33,none,own,1,skilled,1,none,yes,No Risk
63-3868183,Athene,Lloyd-Williams,42528 Columbus Street,671-706-9333,587-627-8458,athenelloyd-williams@google.com,4/24/1987,no_checking,29,outstanding_credit,vacation,3282,500_to_1000,4_to_7,4,male,guarantor,3,car_other,51,none,free,2,skilled,1,yes,yes,Risk
63-4035923,Lalo,Blaza,40271 Springview Point,170-253-6186,889-629-1749,laloblaza@yahoo.com,1/7/2007,less_0,10,prior_payments_delayed,furniture,3633,less_100,less_1,3,male,none,3,car_other,35,none,rent,1,skilled,1,none,yes,No Risk
63-4074205,Rollo,Cauldwell,21 Lien Alley,520-921-1799,432-763-9220,rollocauldwell@google.com,6/18/1990,no_checking,19,credits_paid_to_date,radio_tv,2604,100_to_500,greater_7,4,male,none,3,savings_insurance,45,none,own,1,skilled,1,none,yes,Risk
63-4225118,Carena,Ide,0 Blackbird Plaza,910-197-8956,658-647-5235,carenaide@google.com,6/15/2006,0_to_200,22,outstanding_credit,car_used,7618,greater_1000,1_to_4,4,male,none,4,car_other,33,none,own,2,management_self-employed,1,yes,no,No Risk
63-4433461,Taryn,Worstall,93 Elka Way,986-463-9051,979-250-3533,tarynworstall@google.com,5/9/2001,no_checking,28,prior_payments_delayed,car_used,5977,100_to_500,4_to_7,3,male,co-applicant,3,savings_insurance,39,none,own,1,skilled,1,yes,yes,Risk
63-4634808,Misty,Dongate,8921 Beilfuss Drive,223-135-7697,614-491-0518,mistydongate@google.com,7/13/1986,less_0,5,no_credits,education,2247,less_100,less_1,1,female,none,1,car_other,49,none,rent,1,skilled,1,none,yes,No Risk
63-5629249,Germain,Amps,585 Kedzie Trail,986-469-7106,313-272-8571,germainamps@google.com,3/17/1998,0_to_200,18,prior_payments_delayed,car_used,3588,less_100,4_to_7,3,male,none,2,unknown,47,none,own,1,skilled,1,yes,yes,No Risk
63-5775854,Warden,Haliday,52 Del Sol Drive,727-712-3651,996-817-4302,wardenhaliday@yahoo.com,2/26/1981,0_to_200,4,credits_paid_to_date,car_new,250,less_100,4_to_7,2,female,none,2,real_estate,54,none,own,1,skilled,1,none,yes,No Risk
63-6171587,Brandy,Stollman,5 Lakeland Lane,953-818-1533,377-485-1319,brandystollman@google.com,6/21/1995,less_0,23,credits_paid_to_date,furniture,317,less_100,1_to_4,2,female,none,1,savings_insurance,50,bank,own,1,unskilled,1,none,yes,No Risk
63-8283549,Sibella,Dekeyser,5843 Prentice Trail,350-919-9426,961-427-3982,sibelladekeyser@google.com,8/23/1983,less_0,4,prior_payments_delayed,car_used,250,less_100,less_1,2,female,none,2,real_estate,62,none,rent,1,skilled,1,none,yes,No Risk
63-9077459,Gilbertine,Lyddyard,07805 Colorado Avenue,866-967-6169,565-691-9204,gilbertinelyddyard@yahoo.com,4/2/2012,no_checking,31,prior_payments_delayed,car_used,1816,500_to_1000,1_to_4,4,male,none,3,savings_insurance,24,none,own,1,skilled,1,none,yes,No Risk
63-9319473,Bentlee,Oldcote,0 Laurel Alley,425-336-7819,360-394-8947,bentleeoldcote@yahoo.com,7/5/2013,0_to_200,29,prior_payments_delayed,radio_tv,5682,greater_1000,greater_7,4,male,none,4,savings_insurance,26,stores,rent,2,unskilled,2,none,yes,No Risk
64-0134878,Ramsey,Harsnep,716 Bluejay Hill,765-163-3403,165-486-6662,ramseyharsnep@yahoo.com,4/6/2004,no_checking,17,credits_paid_to_date,retraining,1631,100_to_500,1_to_4,3,male,none,4,car_other,38,none,own,1,skilled,1,none,yes,No Risk
64-0291336,Herminia,Alans,49 Rieder Way,311-619-8353,413-746-8194,herminiaalans@google.com,10/21/2013,less_0,23,credits_paid_to_date,car_used,1802,less_100,4_to_7,2,female,none,1,real_estate,24,stores,own,1,skilled,1,none,no,No Risk
64-2159623,Tonnie,Waterstone,23634 Blaine Crossing,554-652-3663,248-962-0033,tonniewaterstone@yahoo.com,6/22/1990,less_0,4,all_credits_paid_back,car_new,2862,less_100,less_1,2,female,none,3,real_estate,43,none,own,1,skilled,1,none,yes,No Risk
64-3335715,Theadora,Handscomb,50763 Hudson Plaza,840-156-9456,363-293-7778,theadorahandscomb@google.com,10/21/1984,no_checking,19,outstanding_credit,business,5640,100_to_500,greater_7,4,female,none,3,savings_insurance,53,none,free,1,skilled,2,yes,yes,Risk
64-3400348,Carola,Collis,984 South Center,683-127-7851,113-657-4599,carolacollis@google.com,10/22/1993,greater_200,35,outstanding_credit,radio_tv,5209,500_to_1000,greater_7,4,male,co-applicant,4,unknown,40,none,free,2,skilled,2,yes,yes,Risk
64-4017113,Addy,Caudrelier,06813 Sutherland Parkway,797-696-9923,862-154-6791,addycaudrelier@google.com,11/11/1995,0_to_200,4,no_credits,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,38,stores,rent,1,skilled,1,none,yes,No Risk
64-4362060,Benjy,Eble,3723 Cardinal Pass,570-735-3266,605-152-8317,benjyeble@google.com,7/12/2013,no_checking,27,credits_paid_to_date,retraining,8525,less_100,1_to_4,4,female,none,4,car_other,28,none,own,1,skilled,1,yes,yes,No Risk
64-4838688,Lennard,Bountiff,54 Barnett Center,836-949-7791,962-125-3609,lennardbountiff@google.com,8/28/1980,0_to_200,4,all_credits_paid_back,car_new,250,100_to_500,1_to_4,1,female,none,2,real_estate,64,stores,rent,1,skilled,1,none,yes,No Risk
64-5011231,Dominique,Boocock,7852 Butternut Pass,358-231-1335,108-396-6593,dominiqueboocock@hotmail.com,11/1/1985,0_to_200,20,credits_paid_to_date,car_used,4292,less_100,1_to_4,3,female,none,3,car_other,49,bank,own,2,unemployed,1,none,yes,No Risk
64-5808105,Judas,Gillivrie,59306 Atwood Center,772-934-7980,496-334-1872,judasgillivrie@yahoo.com,1/6/2000,no_checking,25,prior_payments_delayed,radio_tv,7769,100_to_500,1_to_4,3,male,none,4,car_other,34,stores,rent,1,unskilled,1,none,yes,No Risk
64-6126827,Urban,Shellibeer,309 Springs Junction,386-752-0808,564-733-3545,urbanshellibeer@yahoo.com,5/25/1994,no_checking,24,outstanding_credit,radio_tv,4774,500_to_1000,greater_7,3,male,none,3,savings_insurance,39,none,free,2,skilled,1,yes,yes,Risk
64-6578673,Selle,Brogden,294 Mosinee Lane,659-782-7749,919-179-1978,sellebrogden@google.com,2/26/1986,less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,56,none,rent,1,skilled,1,none,yes,No Risk
64-6665078,Tara,McSwan,3 Center Terrace,672-305-8933,495-604-9947,taramcswan@hotmail.com,10/28/2003,less_0,7,prior_payments_delayed,furniture,2574,500_to_1000,4_to_7,2,female,none,1,unknown,36,stores,own,2,unskilled,1,none,yes,Risk
64-6834454,Karia,Glabach,98830 Macpherson Place,287-458-4375,140-267-3557,kariaglabach@google.com,5/17/1997,0_to_200,26,outstanding_credit,appliances,4474,100_to_500,greater_7,4,male,none,4,savings_insurance,38,none,own,1,skilled,1,none,yes,No Risk
64-7061487,Tiebold,Mirfin,5 Rowland Terrace,120-304-5651,558-754-0759,tieboldmirfin@hotmail.com,5/11/2002,no_checking,15,credits_paid_to_date,radio_tv,968,100_to_500,less_1,1,male,none,3,real_estate,38,bank,rent,1,unskilled,2,none,yes,No Risk
64-8146953,Philippe,Tolliday,4 Laurel Street,338-631-5852,250-415-9178,philippetolliday@google.com,11/19/2013,less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,30,stores,rent,1,unskilled,1,none,yes,No Risk
64-8264930,Raeann,Rangeley,45 Butternut Lane,641-843-8585,518-257-3730,raeannrangeley@hotmail.com,10/5/1999,no_checking,8,all_credits_paid_back,furniture,1726,less_100,less_1,3,female,none,2,savings_insurance,40,stores,own,1,skilled,1,none,yes,No Risk
64-8586991,Alexis,Borrill,11288 Troy Circle,310-650-2711,352-514-3698,alexisborrill@yahoo.com,2/19/2000,less_0,14,credits_paid_to_date,furniture,1940,500_to_1000,1_to_4,3,male,none,3,car_other,33,stores,own,2,skilled,2,yes,yes,No Risk
65-0050689,Anna-maria,Tingly,882 Kennedy Trail,318-722-2951,671-150-7365,anna-mariatingly@hotmail.com,9/13/1984,less_0,25,prior_payments_delayed,car_used,3227,100_to_500,4_to_7,3,male,none,2,unknown,61,none,rent,1,skilled,1,none,yes,No Risk
65-0128103,Saxon,Newlyn,7 Utah Alley,170-557-8418,807-263-0570,saxonnewlyn@yahoo.com,4/25/2003,no_checking,8,prior_payments_delayed,car_new,2071,100_to_500,greater_7,3,male,none,3,car_other,42,none,own,1,skilled,1,yes,no,Risk
65-0233208,Jozef,Bouzan,86133 Westport Junction,774-267-4264,833-772-7542,jozefbouzan@hotmail.com,1/8/1991,no_checking,31,prior_payments_delayed,appliances,6940,100_to_500,1_to_4,4,male,none,3,car_other,42,stores,own,1,unskilled,1,none,yes,No Risk
65-0570431,Jessie,Dametti,4867 Mosinee Plaza,849-906-4160,502-565-8787,jessiedametti@yahoo.com,7/3/2004,0_to_200,13,credits_paid_to_date,car_new,2344,100_to_500,1_to_4,3,male,none,2,savings_insurance,37,none,own,2,skilled,1,none,yes,No Risk
65-3321014,Brose,Breadmore,32 Hauk Lane,550-436-7189,694-286-4696,brosebreadmore@yahoo.com,12/5/1987,0_to_200,4,no_credits,car_new,388,less_100,unemployed,2,female,none,3,real_estate,58,stores,rent,1,unskilled,1,none,yes,No Risk
65-4370360,Kathleen,Hubbold,00 Maple Way,682-762-7406,165-682-6173,kathleenhubbold@outlook.com,2/8/1998,no_checking,23,prior_payments_delayed,furniture,4138,100_to_500,1_to_4,4,female,none,3,real_estate,41,none,own,2,skilled,1,none,no,No Risk
65-4400448,Didi,Uphill,8136 Arkansas Parkway,266-498-5451,896-735-8684,didiuphill@google.com,9/13/2015,0_to_200,19,credits_paid_to_date,repairs,1993,less_100,1_to_4,2,male,none,2,savings_insurance,19,none,own,1,skilled,1,yes,yes,No Risk
65-5270058,Debi,Geraldez,60880 Stoughton Avenue,820-724-3590,391-444-4288,debigeraldez@yahoo.com,1/13/1987,less_0,10,prior_payments_delayed,furniture,250,less_100,less_1,2,male,none,1,real_estate,58,stores,rent,1,skilled,1,none,yes,No Risk
65-5698928,Corrie,Rentz,9897 Riverside Junction,717-311-3986,864-621-3897,corrierentz@yahoo.com,12/24/1984,no_checking,29,outstanding_credit,appliances,7437,500_to_1000,4_to_7,5,male,none,4,unknown,58,none,free,2,skilled,1,yes,yes,Risk
65-5753908,Timmie,Jaffra,21 Kennedy Plaza,639-566-7222,919-989-4058,timmiejaffra@yahoo.com,2/4/2002,0_to_200,20,credits_paid_to_date,furniture,1205,100_to_500,1_to_4,3,male,none,3,car_other,36,none,rent,1,skilled,2,none,yes,Risk
65-7190396,Rex,Giddens,81 Jackson Avenue,318-149-3330,498-265-8039,rexgiddens@google.com,2/1/2013,0_to_200,27,credits_paid_to_date,radio_tv,3235,less_100,1_to_4,2,female,none,3,car_other,20,none,rent,1,skilled,1,none,yes,No Risk
65-7409549,Clyde,Dorward,952 Novick Way,396-477-4787,742-182-5059,clydedorward@yahoo.com,12/20/2006,greater_200,13,all_credits_paid_back,furniture,3971,less_100,less_1,2,male,none,1,real_estate,36,bank,own,1,unemployed,1,none,yes,No Risk
65-9468230,Merry,Kienzle,5 Charing Cross Junction,416-579-9223,566-126-1875,merrykienzle@google.com,3/24/2000,less_0,11,no_credits,car_new,3724,less_100,1_to_4,2,female,none,2,savings_insurance,36,none,own,1,skilled,1,none,yes,No Risk
66-0227061,Mei,Badman,9 Eliot Trail,840-329-6041,302-544-9407,meibadman@google.com,11/23/1991,no_checking,16,credits_paid_to_date,appliances,3676,greater_1000,4_to_7,3,female,none,4,car_other,52,none,own,1,skilled,1,none,yes,Risk
66-1430045,Marabel,Spritt,1368 Vermont Parkway,618-766-1086,538-540-1394,marabelspritt@yahoo.com,11/15/2003,greater_200,23,credits_paid_to_date,appliances,4790,100_to_500,1_to_4,2,male,none,2,unknown,32,none,own,1,skilled,1,none,yes,No Risk
66-1600709,Sutton,Rosedale,49 Hansons Hill,156-381-0011,833-974-5768,suttonrosedale@yahoo.com,5/26/2004,greater_200,25,outstanding_credit,business,5515,unknown,4_to_7,3,male,none,3,unknown,30,none,free,2,skilled,1,yes,yes,No Risk
66-1841409,Queenie,Cissell,62441 American Ash Drive,753-439-7789,621-833-2658,queeniecissell@outlook.com,2/26/1983,no_checking,35,outstanding_credit,furniture,5602,greater_1000,4_to_7,5,male,none,5,savings_insurance,53,none,free,2,management_self-employed,1,none,yes,No Risk
66-4368723,Mady,Wildes,47385 Sunfield Road,479-664-0137,330-941-3574,madywildes@outlook.com,2/14/2010,0_to_200,14,credits_paid_to_date,car_new,250,less_100,4_to_7,2,male,none,3,real_estate,25,none,own,1,skilled,1,none,yes,No Risk
66-5462279,Paten,Waddoups,46108 Merchant Road,143-785-7531,670-271-3583,patenwaddoups@yahoo.com,4/15/2000,no_checking,23,outstanding_credit,appliances,2232,500_to_1000,greater_7,4,male,none,3,car_other,41,none,own,1,skilled,1,none,yes,No Risk
66-5599403,Pepito,Thurlow,0154 Butternut Junction,998-443-9086,675-219-3673,pepitothurlow@google.com,6/21/2007,greater_200,40,outstanding_credit,other,5557,greater_1000,greater_7,4,male,co-applicant,4,unknown,28,none,free,2,skilled,1,yes,yes,Risk
66-5644088,Emalee,Fiddymont,5 Sommers Drive,487-410-3125,109-884-0236,emaleefiddymont@google.com,7/9/1983,0_to_200,18,credits_paid_to_date,car_new,609,100_to_500,1_to_4,3,male,none,3,real_estate,56,none,rent,1,skilled,1,none,yes,No Risk
66-6258125,Alexandros,Mingardi,3 Golf View Crossing,836-543-9186,214-758-9220,alexandrosmingardi@hotmail.com,12/15/1991,0_to_200,20,credits_paid_to_date,furniture,3627,500_to_1000,1_to_4,3,male,none,4,car_other,52,none,own,2,skilled,1,yes,yes,No Risk
66-7309459,Lila,Lyver,09 Transport Hill,100-209-5901,770-391-0285,lilalyver@yahoo.com,6/19/2008,no_checking,25,prior_payments_delayed,furniture,7279,100_to_500,4_to_7,4,male,none,4,car_other,33,stores,own,2,unskilled,1,yes,yes,No Risk
66-9605132,Lora,Bauld,34401 Columbus Circle,402-944-5375,157-252-5935,lorabauld@yahoo.com,10/25/1985,less_0,11,prior_payments_delayed,car_new,250,less_100,4_to_7,3,male,none,2,savings_insurance,55,none,own,2,skilled,1,none,yes,Risk
66-9754988,Thia,Gebbie,26963 Randy Avenue,324-657-4843,976-751-3003,thiagebbie@hotmail.com,3/8/2006,less_0,21,credits_paid_to_date,car_new,1519,less_100,less_1,2,female,none,2,savings_insurance,37,none,own,1,skilled,1,none,yes,No Risk
67-0101996,Gabriellia,Knevett,031 Haas Way,976-411-0541,630-529-5629,gabrielliaknevett@google.com,2/14/2008,less_0,9,all_credits_paid_back,car_new,2524,100_to_500,less_1,2,male,none,1,savings_insurance,25,none,own,2,skilled,1,none,yes,No Risk
67-0652960,Flss,Cartner,542 Beilfuss Alley,510-887-2300,194-440-1901,flsscartner@yahoo.com,1/20/2008,no_checking,34,prior_payments_delayed,radio_tv,5157,500_to_1000,4_to_7,3,male,none,2,car_other,33,none,free,2,skilled,1,yes,yes,Risk
